question,ground_truth
"Nomor berapakah Keputusan Rektor Universitas Pendidikan Ganesha tentang Penetapan Daftar Informasi Publik tahun 2023?","Nomor 2215/UN48/PT/2023"
"Kapan Surat Keputusan Rektor Nomor 2215/UN48/PT/2023 ditetapkan?","7 Juli 2023"
"Siapa nama Rektor yang menandatangani keputusan penetapan daftar informasi publik Undiksha tahun 2023?","I Wayan Lasmawan"
"Unit mana yang menguasai informasi mengenai profil singkat pejabat struktural di Undiksha?","Humas"
"Berapa lama jangka waktu penyimpanan arsip untuk informasi struktur organisasi dan gambaran umum satuan kerja?","10 (sepuluh) tahun"
"Apa format informasi yang tersedia untuk Laporan Harta Kekayaan Pejabat Negara (LHKPN)?","Online/Hardcopy"
"Siapa penanggung jawab pembuatan atau penerbitan informasi seleksi penerimaan mahasiswa baru?","BAK (Biro Akademik dan Kemahasiswaan)"
"Berapa lama jangka waktu penyediaan informasi lelang secara berkala?","1 (satu) tahun"
"Bagaimana status retensi arsip untuk informasi tentang penerimaan CPNS setelah 2 tahun?","Musnah, kecuali SK masuk & Nota berkas perorangan"
"Unit apa yang menguasai informasi mengenai perencanaan atau kebutuhan dosen dan pegawai?","Bagian Kepegawaian"
"Berapa lama jangka waktu penyimpanan arsip untuk Laporan Tahunan Rektor?","3 (tiga) tahun musnah"
"Siapa pejabat yang menguasai informasi Pemenang Hibah Usulan Penelitian dan Pengabdian kepada Masyarakat?","LP2M"
"Berapa lama jangka waktu penyediaan Laporan Keuangan Undiksha Audited?","3 (tiga) bulan"
"Apakah status retensi arsip untuk Laporan Keuangan Undiksha Audited?","Permanen"
"Unit mana yang bertanggung jawab atas informasi tata cara pengajuan keberatan serta penyelesaian sengketa informasi publik?","Bagian Umum dan tata laksana"
"Informasi publik apa yang saat ini wajib diumumkan secara serta-merta di Undiksha?","Saat ini belum ada informasi publik yang wajib disediakan dan diumumkan secara serta merta"
"Di mana pengumuman publikasi dilakukan untuk informasi yang wajib diumumkan secara serta-merta?","Di halaman muka situs web pada bagian 'Pengumuman'"
"Berapa lama jangka waktu penyimpanan arsip untuk Rencana Induk Pengembangan (RIPJP)?","Permanen"
"Siapa penanggung jawab pembuatan informasi agenda kerja pimpinan?","Bagian Kemahasiswaan dan Hubungan Masyarakat"
"Berapa lama retensi arsip untuk Data Inventaris Undiksha?","2 (dua) tahun musnah"
"Apa alasan hukum pengecualian informasi untuk Dokumen Hasil Pengadaan Barang/Jasa (kontrak)?","Pasal 17 huruf h angka 3 UU No. 14 Tahun 2008 dan Perpres No. 54 Tahun 2010 sebagaimana diubah dengan Perpres No. 4 Tahun 2015"
"Berapa lama jangka waktu pengecualian untuk usulan nama calon pejabat yang akan memangku jabatan?","Setelah yang bersangkutan dilantik"
"Mengapa data pribadi dosen, staf, mahasiswa, dan alumni dikecualikan dari publik?","Berdasarkan Pasal 44 ayat (1) huruf h UU No. 43 Tahun 2009 tentang Kearsipan dan PP No. 61 Tahun 2010 tentang Data Piutang pegawai"
"Berapa lama jangka waktu pengecualian untuk Dokumen Minutes of Meeting (Rapat tertutup)?","Tidak terbatas"
"Kapan informasi mengenai perencanaan mutasi pegawai dapat diberikan kepada publik?","Setelah mutasi dilakukan"
"Apa alasan pengecualian informasi untuk Kertas Kerja Audit?","Pasal 6 ayat (3) jo. Pasal 17 huruf b dan huruf h angka 5 UU No. 14 Tahun 2008 dan Pasal 44 ayat (1) UU No. 43 Tahun 2009"
"Apakah Laporan Keuangan sebelum diaudit (unaudited) termasuk informasi yang dikecualikan?","Ya, termasuk informasi yang dikecualikan"
"Kapan informasi mengenai nilai tes ujian bisa dibuka?","Dibuka setelah mendapatkan persetujuan tertulis dari Pimpinan"
"Apa dasar hukum pengecualian informasi Naskah Soal TKD dan TKB penerimaan CPNS?","Pasal 8 ayat (3) huruf h poin 4 Peraturan Kemenristekdikti No 75 tahun 2016, Permendikbud No 50 Tahun 2011, dan Pasal 27.2 terkait dokumen rahasia"
"Berapa lama jangka waktu pengecualian untuk Hasil Rapat Baperjakat tentang mutasi pegawai?","Tidak Terbatas"
"Informasi apa yang dikecualikan berdasarkan Pasal 17 huruf j UU Nomor 14 Tahun 2008 dalam proses pengadaan barang/jasa?","Rincian Harga Perkiraan Sendiri (HPS) dan Dokumen Penawaran"
"Kapan dokumen penawaran pada proses pengadaan barang/jasa boleh dibuka?","Dibuka pada saat proses Pelelangan"
